kanji_char	word	reading	pos	en_gloss	frequency_rank	han_viet
安	安心	あんしん	n	peace of mind; relief; (sense of) security; safety; assurance; confidence	4611	an tâm
安	安静	あんせい	n	rest; quiet; repose	4612	an ?
安	安全	あんぜん	n	safety; security	4613	an toàn
安	安全保障	あんぜんほしょう	n	(guarantee of) security	4614	an toàn bảo chướng
安	安打	あんだ	n	safe hit	4615	an đả
安	安泰	あんたい	adj-na	security; stability; safety; peace	4616	an thái
安	安値	やすね	n	low price	4617	an trị
安	安定	あんてい	n	stability; steadiness; consistency; equilibrium; balance; composure	4618	an định
安	安売り	やすうり	n	bargain sale; selling cheaply; selling at a low price	4619	an ?
安	安否	あんぴ	n	safety; welfare; well-being	4620	an bĩ
安	安物	やすもの	n	cheap article; poor-quality article	4621	an vật
安	安保	あんぽ	n	security (e.g. national security)	4622	an bảo
一	一応	いちおう	n	more or less; though not quite satisfactorily; after a fashion; pretty much; roughly; so far as it goes; technically	4811	nhất ?
一	一億	いちおく	n	100,000,000; one hundred million	4812	nhất ức
一	一過	いっか	n	passing (e.g. of a typhoon); going past	4813	nhất quá
一	一回	いっかい	n	once; one time; one round; one game; one bout; one heat; one inning	4814	nhất hồi
一	一回り	ひとまわり	n	one round; one turn; a circuit (of)	4815	nhất hồi
一	一階	いっかい	n	first floor; ground floor	4816	nhất giai
一	一概に	いちがいに	adv	unconditionally; as a rule	4817	nhất ?
一	一角	いっかく	n	corner; section; point; part	4818	nhất góc
一	一括	いっかつ	n	lumping together; summing up; bundle; lump; batch	4820	nhất quát
一	一環	いっかん	n	link (e.g. in a chain of events); part (of a plan, campaign, activities, etc.)	4821	nhất ?
一	一貫	いっかん	n	consistency; coherence; integration	4822	nhất quan
一	一丸	いちがん	n	one lump; one body; one group	4823	nhất hoàn
飲	飲み水	のみみず	n	drinking water; potable water	19447	ẩm thuỷ
飲	飲み物	のみもの	n	drink; beverage	19448	ẩm vật
飲	湯飲み	ゆのみ	n	teacup	20063	thang ẩm
飲	飲み会	のみかい	n	drinking party; get-together (usu. involving alcoholic drinks)	21755	ẩm hội
右	右方	うほう	n	right side	5057	hữu phương
右	右翼	うよく	n	right wing	5058	hữu dực
右	右腕	みぎうで	n	right arm	5059	hữu oản
右	極右	きょくう	n	far right (in politics); extreme right; ultraright	7256	cực hữu
右	右側	みぎがわ	n	right side; right-hand side	18410	hữu trắc
右	右中間	うちゅうかん	n	between right and center fielders (centre)	20163	hữu trung gian
右	右クリック	みぎクリック	n	right-click	22406	hữu
雨	降雨	こうう	n	rainfall; rain	8716	giáng ?
雨	豪雨	ごうう	n	torrential rain; heavy rain; cloudburst; downpour	8813	hào ?
雨	時雨	しぐれ	n	rain shower in late autumn (fall) or early winter	9831	thì ?
雨	大雨	おおあめ	n	heavy rain; torrential rainfall; downpour	13214	đại ?
雨	梅雨入り	つゆいり	n	entering the rainy season; beginning of the rainy season	15015	mai ? nhập
雨	風雨	ふうう	n	wind and rain	16088	phong ?
雨	暴風雨	ぼうふうう	n	rainstorm; storm	16711	bạo phong ?
雨	霧雨	きりさめ	n	drizzle; light rain	17101	vụ ?
雨	雷雨	らいう	n	thunderstorm; thundershower	17711	lôi ?
雨	雨水	あまみず	n	rain water	18411	? thuỷ
雨	梅雨	つゆ	n	(East Asian) rainy season (in Japan, usu. from early June to mid-July)	18691	mai ?
雨	雨垂れ	あまだれ	n	raindrops (dripping from eaves, branches, etc.)	18838	? thùy
円	円卓	えんたく	n	round table	5184	? trác
円	円柱	えんちゅう	n	column; shaft; cylinder	5185	? trụ
円	円筒	えんとう	n	cylinder	5186	? đồng
円	円盤	えんばん	n	disk; discus; platter	5187	? bàn
円	円満	えんまん	adj-na	harmonious; peaceful; happy; amicable; smooth; free from trouble	5188	? ?
円	円み	まるみ	n	roundness; rotundity	6456	?
円	１０００円	せんえん	n	1000 yen	12379	?
円	楕円	だえん	n	ellipse; oval	13063	? ?
円	円滑	えんかつ	adj-na	smooth; undisturbed; uninterrupted; harmonious	18416	? gột
円	円形	えんけい	n	round shape; circle; circular form	18417	? hình
円	円い	まるい	adj-i	round; circular; spherical	19621	?
円	楕円形	だえんけい	n	elliptical shape; oval shape	19889	? ? hình
下	下さい	ください	exp	please (give me)	5405	hạ
下	下さる	くださる	v5aru	to give; to confer; to bestow	5406	hạ
下	下す	くだす	v5s	to make a decision; to draw a conclusion	5407	hạ
下	下っ腹	したっぱら	n	abdomen; stomach; under parts	5408	hạ phục
